date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:45:43	144494/144494	---M--	200	added ('OK')	image/png	etag:409aa2083f9531ef35adb50c30db84bbe3dba0f6	https://d33wubrfki0l68.cloudfront.net/images/c248e099f6d8d08511e4420118f86eadad9f7837/photobooth-036c4f041562060bd017a3.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/images/c248e099f6d8d08511e4420118f86eadad9f7837/photobooth-036c4f041562060bd017a3.png	(from https://d33wubrfki0l68.cloudfront.net/css/6449900ec52de1a252bb927b3236c845b89b54d8/main.57db156fd34a697daae1.css)
11:45:43	5601/5601	---M--	200	added ('OK')	image/png	etag:830eaa01c3cd518c8cfe938bd853e3bd2957fff5	https://d33wubrfki0l68.cloudfront.net/images/2666d50e1f70c5c56020bad90d4b21a173e9c55d/rotate-screen2e92db01a91cae1c8efd9.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/images/2666d50e1f70c5c56020bad90d4b21a173e9c55d/rotate-screen2e92db01a91cae1c8efd9.png	(from https://d33wubrfki0l68.cloudfront.net/css/6449900ec52de1a252bb927b3236c845b89b54d8/main.57db156fd34a697daae1.css)
11:45:45	27234/27234	---MCZ	200	added ('OK')	application/javascript	etag:a5a0ea407503fe5ac6af1843dea36e419696b4d7-df	https://d33wubrfki0l68.cloudfront.net/js/d08b950aaa1d2b6075efbf8dd690cd5ca21cdb05/violin.js	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/js/d08b950aaa1d2b6075efbf8dd690cd5ca21cdb05/violin.js	(from https://www.twosetescaperoom.com/violin)
11:45:45	84875/84875	---M--	200	added ('OK')	image/png	etag:96bf10e7ca7bcce40c0747ce5e16cc7fe8434278	https://d33wubrfki0l68.cloudfront.net/images/16f3770292207aec904884c16a01176c433a5a2c/escape-numpad0de6edf78a5205354cc2.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/images/16f3770292207aec904884c16a01176c433a5a2c/escape-numpad0de6edf78a5205354cc2.png	(from https://d33wubrfki0l68.cloudfront.net/css/6449900ec52de1a252bb927b3236c845b89b54d8/main.57db156fd34a697daae1.css)
11:45:51	818491/818491	---M--	200	added ('OK')	image/png	etag:39f79fd024af5ae7d193d25d5d06e94994b7d062	https://d33wubrfki0l68.cloudfront.net/images/8f5e296359fbb31c55caab29d87b8cab1729277d/violin_endbge393c4132d549f4ab145.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/images/8f5e296359fbb31c55caab29d87b8cab1729277d/violin_endbge393c4132d549f4ab145.png	(from https://d33wubrfki0l68.cloudfront.net/css/6449900ec52de1a252bb927b3236c845b89b54d8/main.57db156fd34a697daae1.css)
11:45:56	9112/9112	---M--	200	added ('OK')	audio/mpeg	etag:%2219b488e2e1359cbd7503e5bc71150f0c-ssl%22	https://www.twosetescaperoom.com/images/beep%20551568b2bf7ee65f77db5.mp3	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/www.twosetescaperoom.com/images/beep%20551568b2bf7ee65f77db5.mp3	(from https://www.twosetescaperoom.com/violin)
11:45:58	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1634802422-ssl-df	https://www.twosetescaperoom.com/twoset-escape.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/www.twosetescaperoom.com/twoset-escape.18.delayed	(from https://www.twosetescaperoom.com/violin)
11:45:58	19778/19778	---M-Z	200	added ('OK')	text/css	etag:fe365a8567dee05db6e64c4525c1cc91abfdbed6-df	https://d33wubrfki0l68.cloudfront.net/css/4bce3277a65237e33ff061d93434f0160ba7b1d0/violin.05e5e9672010341beb5e.css	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/css/4bce3277a65237e33ff061d93434f0160ba7b1d0/violin.05e5e9672010341beb5e.css	(from https://www.twosetescaperoom.com/violin)
11:45:59	25800/25800	---MCZ	200	added ('OK')	application/javascript	etag:7733438aaf338d557aaf8e88d94e4fcf8fe70343-df	https://d33wubrfki0l68.cloudfront.net/js/146dd6d007b72157e93838a9ceb041c747986c4a/piano.js	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/js/146dd6d007b72157e93838a9ceb041c747986c4a/piano.js	(from https://www.twosetescaperoom.com/piano)
11:46:00	57345/57345	---M--	200	added ('OK')	image/png	etag:044d16079b663198dbfde43ed68d73bf82d3f4f1	https://d33wubrfki0l68.cloudfront.net/images/351673e38415d05ff1a09db110b13c268ac20803/violinist_hoverc2d079c529d822671751.png	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/images/351673e38415d05ff1a09db110b13c268ac20803/violinist_hoverc2d079c529d822671751.png	(from https://d33wubrfki0l68.cloudfront.net/css/6449900ec52de1a252bb927b3236c845b89b54d8/main.57db156fd34a697daae1.css)
11:46:00	25062/25062	---M-Z	200	added ('OK')	text/css	etag:12246f986b97ded78267253871376e62b254d1aa-df	https://d33wubrfki0l68.cloudfront.net/css/e360864ae9fc930b69f77346fec016d7603ba9bc/piano.d6c9ed9f470959780fbc.css	D:/Documents/Web/mirrors/Twoset%20Escape%20Room%203/d33wubrfki0l68.cloudfront.net/css/e360864ae9fc930b69f77346fec016d7603ba9bc/piano.d6c9ed9f470959780fbc.css	(from https://www.twosetescaperoom.com/piano)
